File,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72
constant_16,184640,183719,183835,183991,183983,183622,184439,184223,183793,183688,184037,183409,183576,184357,183487,183342,183711,183882,184330,184100,184648,183779,184089,184066,184119
constant_17,183075,181980,183075,182197,183899,181674,183338,182937,182577,181892,182373,181585,181247,182251,182225,181544,183010,182362,183406,183256,182783,182125,183172,182724,183020
constant_18,183537,183800,184488,182939,183551,184522,183817,184575,183609,184711,184150,183580,183507,183613,184455,184249,183232,184453,184543,183936,184045,184002,184213,183976,184392
constant_19,184667,185443,184244,185308,183984,184677,184267,183795,183505,184793,184718,184187,184868,184327,185260,184701,185311,184374,184802,184394,184752,184454,185038,183127,184291
constant_20,182336,182314,182781,183137,182451,182059,183207,182473,182642,182915,182437,182937,182443,182159,182563,183101,183664,183000,183050,182581,182430,182767,182056,182470,182878
constant_21,182499,183306,183815,183074,183022,183995,183021,182986,183690,183712,183892,183512,182246,183854,182249,183593,183689,182496,183452,183145,183310,183159,183465,182896,183298
constant_22,182731,182690,183387,182696,183460,183349,182994,181613,184054,182529,182377,182317,183115,183863,182086,183016,183135,183683,183080,182838,182793,182495,183917,182952,182701
constant_23,183063,183388,182409,183573,182542,182517,182524,183152,183060,183307,182993,182556,183096,182374,182505,183325,183113,183160,182970,182237,183565,182280,182439,182581,182538
constant_24,182773,183036,183451,183077,182207,182321,182824,183551,182870,183316,182059,182826,183824,182237,182245,182642,183110,183467,183247,182402,182439,182679,182213,183163,181886
constant_25,183482,182514,182480,183551,183581,182626,183728,182919,183640,183985,183145,183215,183117,183081,183789,183055,183409,183509,183046,183240,183706,183328,183701,183445,182545
constant_26,184196,184358,184773,185122,185429,183878,183200,184660,184630,184827,184136,184955,184661,183612,184799,185042,184693,185107,184882,184931,184724,184005,183934,184179,183986
constant_27,182204,182249,181277,181703,181977,181885,181304,181021,182041,182068,182458,181366,181854,181605,182178,181919,182857,182445,182180,181846,182091,182405,182789,182136,181960
constant_28,183590,182500,182978,182615,181710,182479,182384,183143,182777,182984,183241,183608,183210,182174,182377,182466,182421,183772,182540,182671,183475,183023,183176,183100,182774
constant_29,181353,181349,183085,182300,182936,183084,182378,182263,182310,182952,182456,182311,181235,182898,182639,182168,182014,181772,182212,182667,181733,182616,181508,183153,182133
constant_30,183306,181987,182332,182784,182432,182154,181603,182153,182415,181552,182712,182427,182586,182254,182144,182547,182337,182377,182853,182398,182155,182372,181982,182268,181989
constant_31,183456,183005,183416,183277,182991,182204,183002,183705,182605,183331,182467,182817,182194,183032,182074,183066,182917,182910,182899,183360,182651,183210,182709,181096,182998
constant_32,183112,183796,183980,184447,184002,184332,183499,183575,183943,184351,185055,183897,185174,183798,183498,183786,184473,184292,184607,184756,183722,184683,183608,184452,184061
constant_33,182505,181697,182432,183278,182208,183092,183140,183502,182458,183157,182603,183078,182580,183149,182533,183301,183480,182584,182430,182268,182852,183285,183752,182842,182181
constant_34,183875,182378,182710,183776,183668,183572,183648,183645,182677,183147,183947,183490,183482,183307,182991,183052,183335,182062,182722,182959,183461,182461,182884,182626,183093
constant_35,182423,183136,182528,183184,183166,182965,183534,182733,183501,182336,183169,181676,183420,183017,183010,183030,181771,183019,183068,183184,183403,183491,183511,182231,182108
constant_36,182810,181003,181904,181891,182487,181234,182083,182173,182226,182011,182303,181715,181852,181505,181261,181499,181900,182677,181848,182159,180902,182467,182109,181395,181977
constant_37,183682,182625,183316,184212,183326,183302,183644,183491,183444,183279,183797,183175,183053,183258,183051,182163,183046,183796,183407,184017,183573,183521,183543,183139,183382
constant_38,181687,183300,182471,181929,183050,183938,182841,183227,182314,182250,183070,183008,182985,182090,182535,181894,182731,183280,181816,181935,183570,182346,182575,183216,182994
constant_39,182554,182894,182518,182557,182872,182644,182641,183601,183208,183251,183062,183352,182816,183082,182184,182824,183684,183044,183145,183178,182449,181977,182672,182909,182657
constant_40,183358,182588,183585,182450,183752,183435,183594,183296,182856,183179,183416,183203,183545,183661,182975,183296,183466,182068,183766,183009,182557,183325,183203,183608,183460
constant_41,184186,183599,183052,183236,183995,182913,183546,182278,183335,183216,183238,183314,183347,183706,183210,183427,183082,183161,183233,183763,183183,183282,183397,183392,183091
