File,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72
constant_64,23626,23413,23353,23580,23580,23489,23484,23595,23483,23589,23423,23496,23527,23515,23560,23415,23485,23570,23530,23563,23247,23467,23512,23563,23475
constant_65,23455,23399,23458,23396,23378,23285,23501,23464,23385,23467,23411,23320,23425,23429,23284,23432,23313,23510,23385,23451,23537,23397,23466,23480,23434
constant_66,23458,23395,23261,23185,23407,23290,23254,23307,23258,23166,23427,23348,23314,23196,23416,23267,23207,23294,23373,23203,23293,23242,23315,23275,23352
constant_67,23219,23267,23406,23321,23268,23208,23174,23062,23248,23241,23189,23320,23206,23198,23283,23348,23146,23152,23219,23224,23236,23162,23139,23213,23175
constant_68,23251,23078,23360,23307,23259,23176,23150,23231,23348,23194,23336,23156,23222,23227,23320,23101,23212,23234,23172,23122,23219,23168,23261,23259,23236
constant_69,23482,23335,23372,23386,23476,23410,23433,23301,23312,23525,23313,23272,23199,23560,23379,23396,23198,23403,23348,23431,23470,23274,23307,23307,23282
constant_70,23466,23573,23473,23526,23536,23512,23555,23525,23584,23602,23659,23597,23454,23444,23484,23584,23526,23636,23665,23552,23579,23558,23574,23445,23256
constant_71,23349,23346,23193,23213,23345,23293,23395,23257,23346,23298,23321,23363,23245,23347,23292,23174,23433,23223,23235,23222,23360,23485,23288,23456,23282
constant_72,23850,23710,23792,23709,23834,23681,23796,23890,23762,23624,23761,23784,23799,23695,23770,23777,23853,23697,23686,23833,23579,23773,23781,23815,23723
constant_73,23132,23171,23234,23317,23195,23130,23312,23269,23144,23048,23174,23022,23203,23387,23218,23232,23220,23283,23099,23313,23137,23189,23157,23106,22987
constant_74,23180,23375,23240,23206,23135,23059,23382,23219,23308,23340,23275,23243,23162,23244,23303,23139,23165,23231,23197,23362,23235,23317,23264,23268,23262
constant_75,23615,23586,23615,23530,23499,23745,23580,23837,23650,23630,23470,23609,23648,23561,23603,23469,23405,23611,23706,23495,23612,23727,23652,23579,23639
constant_76,23220,23246,23327,23160,23166,23156,23242,23366,23274,23231,23192,23288,23212,23082,23289,23354,23171,23116,23244,23240,23190,23304,23246,23260,23207
constant_77,23366,23443,23327,23268,23306,23259,23306,23257,23372,23356,23388,23250,23310,23321,23257,23208,23403,23223,23338,23317,23250,23201,23301,23436,23303
constant_78,23585,23531,23529,23537,23558,23286,23425,23499,23547,23562,23478,23451,23531,23404,23465,23481,23395,23432,23479,23347,23447,23381,23634,23530,23466
constant_79,23127,23137,23005,23165,23151,23135,23109,23082,23199,23011,23123,23095,23155,23167,23190,23169,22967,23175,23160,23069,23218,23209,23206,23053,23030
constant_80,23368,23471,23375,23378,23482,23551,23490,23484,23502,23521,23577,23370,23529,23370,23534,23463,23535,23489,23443,23406,23535,23454,23473,23570,23431
constant_81,23512,23542,23513,23684,23538,23598,23594,23509,23671,23596,23518,23410,23528,23467,23562,23702,23661,23560,23510,23532,23605,23415,23493,23472,23462
constant_82,23227,23484,23275,23349,23319,23162,23299,23252,23132,23191,23213,23369,23329,23334,23285,23248,23332,23327,23168,23125,23407,23246,23104,23278,23375
constant_83,23436,23283,23580,23390,23552,23376,23333,23510,23489,23473,23507,23314,23245,23371,23408,23414,23365,23330,23503,23343,23231,23456,23431,23407,23297
constant_84,22998,23054,23068,23079,23038,23038,23031,23112,23143,23248,22882,22998,22974,23183,23068,23138,22973,23040,23104,22963,23091,22861,23142,23027,23040
constant_85,23502,23413,23400,23441,23382,23483,23308,23355,23459,23462,23296,23263,23431,23347,23461,23414,23506,23473,23450,23434,23237,23474,23311,23459,23438
constant_86,23548,23482,23515,23386,23523,23473,23544,23539,23533,23586,23381,23441,23404,23469,23431,23424,23505,23578,23328,23363,23495,23570,23464,23343,23539
constant_87,23410,23410,23257,23268,23294,23297,23299,23292,23296,23189,23345,23199,23370,23323,23206,23424,23209,23266,23195,23284,23336,23235,23241,23389,23236
constant_88,23054,23057,23219,23035,23201,23113,23059,23234,23091,23089,23192,23054,23014,23083,23085,23103,23029,23171,23095,23112,23011,23250,23127,23249,23134
constant_89,23442,23367,23235,23322,23452,23408,23399,23304,23479,23391,23421,23375,23351,23304,23379,23492,23551,23533,23549,23423,23574,23348,23518,23376,23456
constant_90,23047,23184,23153,23008,23211,23226,23216,23161,23192,23275,23286,23240,23111,23228,23207,22983,23223,23176,23315,23307,23133,23089,23282,23304,23242
